model,exp,lang,run_id,harness,time_min,input_uncached,cache_read,cache_write_5m,cache_write_1h,cache_write_unsplit,output,reasoning_in_output,unique_requests,dup_removed,source_path,method,notes
Opus 4.8,EXP-010,en,48-1,claude-code-native,8.7,122,4274682,0,113880,,37120,yes,65,55,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/010-opus48-vs-opus5/runs/48-1/logs,reaggregated,iter1 true completion; iter2 re-verify session after harness false-reject INCLUDED (dashboard output 37.1K incl. both; time is iter1 only)
Opus 4.8,EXP-010,en,48-2,claude-code-native,8.3,79,3024344,0,81688,,32106,yes,42,37,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/010-opus48-vs-opus5/runs/48-2/logs,reaggregated,
Opus 4.8,EXP-010,en,48-3,claude-code-native,7.8,86,3308530,0,84525,,29582,yes,46,37,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/010-opus48-vs-opus5/runs/48-3/logs,reaggregated,
Opus 4.8,EXP-019,ko,48ko-1,claude-code-native,8.48,78,2728845,,,70971,29196,yes,,,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/019-ko-native-codex/runs/usage-opus.csv,report_value,raw session jsonl purged from ~/.claude/projects (30-day cleanup); README says message.id dedup but aggregator not archived (conflict handling unknown); 5m/1h split unavailable (EXP-009/010 same harness were 100% 1h)
Opus 4.8,EXP-019,ko,48ko-2,claude-code-native,7.12,90,2992891,,,72886,26472,yes,,,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/019-ko-native-codex/runs/usage-opus.csv,report_value,raw session jsonl purged from ~/.claude/projects (30-day cleanup); README says message.id dedup but aggregator not archived (conflict handling unknown); 5m/1h split unavailable (EXP-009/010 same harness were 100% 1h)
Opus 4.8,EXP-019,ko,48ko-3,claude-code-native,8.3,77,2639747,,,74340,31656,yes,,,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/019-ko-native-codex/runs/usage-opus.csv,report_value,raw session jsonl purged from ~/.claude/projects (30-day cleanup); README says message.id dedup but aggregator not archived (conflict handling unknown); 5m/1h split unavailable (EXP-009/010 same harness were 100% 1h)
Opus 5,EXP-009,en,opus5-1,claude-code-native,12.2,580,6638756,0,116209,,48431,yes,67,76,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/009-opus5-ralph-en/runs/opus5-1/logs,reaggregated,
Opus 5,EXP-009,en,opus5-2,claude-code-native,11.6,159,7934173,0,116182,,47696,yes,84,42,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/009-opus5-ralph-en/runs/opus5-2/logs,reaggregated,
Opus 5,EXP-009,en,opus5-3,claude-code-native,8.9,79,3746645,0,97335,,42633,yes,43,60,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/009-opus5-ralph-en/runs/opus5-3/logs,reaggregated,
Opus 5,EXP-010,en,5-1,claude-code-native,13.8,140,6806990,0,121580,,47910,yes,74,35,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/010-opus48-vs-opus5/runs/5-1/logs,reaggregated,
Opus 5,EXP-010,en,5-2,claude-code-native,17.6,160,7453373,0,106797,,46195,yes,85,44,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/010-opus48-vs-opus5/runs/5-2/logs,reaggregated,
Opus 5,EXP-010,en,5-3,claude-code-native,9.4,589,4241844,0,105503,,41084,yes,49,61,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/010-opus48-vs-opus5/runs/5-3/logs,reaggregated,
Opus 5,EXP-019,ko,5ko-1,claude-code-native,11.15,767,3753988,,,100600,48744,yes,,,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/019-ko-native-codex/runs/usage-opus.csv,report_value,raw session jsonl purged from ~/.claude/projects (30-day cleanup); README says message.id dedup but aggregator not archived (conflict handling unknown); 5m/1h split unavailable (EXP-009/010 same harness were 100% 1h)
Opus 5,EXP-019,ko,5ko-2,claude-code-native,11.07,123,5027488,,,102445,45476,yes,,,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/019-ko-native-codex/runs/usage-opus.csv,report_value,raw session jsonl purged from ~/.claude/projects (30-day cleanup); README says message.id dedup but aggregator not archived (conflict handling unknown); 5m/1h split unavailable (EXP-009/010 same harness were 100% 1h)
Opus 5,EXP-019,ko,5ko-3,claude-code-native,9.92,128,4921464,,,91259,39148,yes,,,/Users/dohyunjung/Workspace/roboco-io/research/vibecoding-token-experiments/experiments/019-ko-native-codex/runs/usage-opus.csv,report_value,raw session jsonl purged from ~/.claude/projects (30-day cleanup); README says message.id dedup but aggregator not archived (conflict handling unknown); 5m/1h split unavailable (EXP-009/010 same harness were 100% 1h)
Fable 5.1,EXP-023,en,fable-1,claude-code-native,6.9,802,1439045,0,79451,,31102,yes,26,29,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp023-app-fable-1,csv_verified,thinking_tokens(subset of output)=6772; matches experiments/023-fable51-ralph/runs/usage.csv (last-wins dedup script)
Fable 5.1,EXP-023,en,fable-2,claude-code-native,7.77,1058,2206839,0,85864,,35753,yes,34,40,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp023-app-fable-2,csv_verified,thinking_tokens(subset of output)=8512; matches experiments/023-fable51-ralph/runs/usage.csv (last-wins dedup script)
Fable 5.1,EXP-023,en,fable-3,claude-code-native,6.15,674,1242665,0,73794,,28747,yes,22,28,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp023-app-fable-3,csv_verified,thinking_tokens(subset of output)=6211; matches experiments/023-fable51-ralph/runs/usage.csv (last-wins dedup script)
Opus 5.5,EXP-026,en,en-1,claude-code-native,8.35,82,2606338,0,79065,,28166,yes,41,46,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp026-app-en-1,csv_verified,thinking_tokens(subset of output)=5067; matches experiments/026-opus55-ralph/runs/usage.csv (last-wins dedup script)
Opus 5.5,EXP-026,en,en-2,claude-code-native,3.98,54,1524353,0,68865,,19871,yes,27,26,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp026-app-en-2,csv_verified,thinking_tokens(subset of output)=2919; matches experiments/026-opus55-ralph/runs/usage.csv (last-wins dedup script)
Opus 5.5,EXP-026,en,en-3,claude-code-native,4.2,46,1289590,0,68436,,18607,yes,23,23,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp026-app-en-3,csv_verified,thinking_tokens(subset of output)=3119; matches experiments/026-opus55-ralph/runs/usage.csv (last-wins dedup script)
Opus 5.5,EXP-026,ko,ko-1,claude-code-native,4.0,50,1342373,0,65190,,20873,yes,25,30,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp026-app-ko-1,csv_verified,thinking_tokens(subset of output)=2209; matches experiments/026-opus55-ralph/runs/usage.csv (last-wins dedup script)
Opus 5.5,EXP-026,ko,ko-2,claude-code-native,4.22,52,1376142,0,65824,,21089,yes,26,23,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp026-app-ko-2,csv_verified,thinking_tokens(subset of output)=2952; matches experiments/026-opus55-ralph/runs/usage.csv (last-wins dedup script)
Opus 5.5,EXP-026,ko,ko-3,claude-code-native,3.95,44,1174998,0,66891,,20066,yes,22,23,/Users/dohyunjung/.claude/projects/-Users-dohyunjung-ralph-exp026-app-ko-3,csv_verified,thinking_tokens(subset of output)=2360; matches experiments/026-opus55-ralph/runs/usage.csv (last-wins dedup script)
DeepSeek V4.1-Flash,EXP-025,en,flash-en-1,claude-code-direct(DeepSeek),4.57,50634,2828672,0,0,,41061,yes,48,102,/Users/dohyunjung/ralph-exp025/claude-config-projects-flash-en-1,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4.1-Flash,EXP-025,en,flash-en-2,claude-code-direct(DeepSeek),5.98,54181,4001536,0,0,,43276,yes,65,106,/Users/dohyunjung/ralph-exp025/claude-config-projects-flash-en-2,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4.1-Flash,EXP-025,en,flash-en-3,claude-code-direct(DeepSeek),4.82,52359,4334976,0,0,,47565,yes,66,96,/Users/dohyunjung/ralph-exp025/claude-config-projects-flash-en-3,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4.1-Flash,EXP-025,ko,flash-ko-1,claude-code-direct(DeepSeek),8.42,63149,5717376,0,0,,53678,yes,81,137,/Users/dohyunjung/ralph-exp025/claude-config-projects-flash-ko-1,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4.1-Flash,EXP-025,ko,flash-ko-2,claude-code-direct(DeepSeek),6.32,57978,5488640,0,0,,58871,yes,73,140,/Users/dohyunjung/ralph-exp025/claude-config-projects-flash-ko-2,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4.1-Flash,EXP-025,ko,flash-ko-3,claude-code-direct(DeepSeek),4.23,49644,3290752,0,0,,38890,yes,61,79,/Users/dohyunjung/ralph-exp025/claude-config-projects-flash-ko-3,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4-Pro,EXP-025,en,pro-en-1,claude-code-direct(DeepSeek),13.33,65365,4144896,0,0,,62497,yes,50,73,/Users/dohyunjung/ralph-exp025/claude-config-projects-pro-en-1,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4-Pro,EXP-025,en,pro-en-2,claude-code-direct(DeepSeek),12.08,52490,2034560,0,0,,65548,yes,24,45,/Users/dohyunjung/ralph-exp025/claude-config-projects-pro-en-2,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4-Pro,EXP-025,en,pro-en-3,claude-code-direct(DeepSeek),15.83,56950,5068032,0,0,,69590,yes,62,67,/Users/dohyunjung/ralph-exp025/claude-config-projects-pro-en-3,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4-Pro,EXP-025,ko,pro-ko-1,claude-code-direct(DeepSeek),13.37,60080,3760000,0,0,,64804,yes,51,75,/Users/dohyunjung/ralph-exp025/claude-config-projects-pro-ko-1,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4-Pro,EXP-025,ko,pro-ko-2,claude-code-direct(DeepSeek),13.35,52470,3855744,0,0,,59621,yes,52,69,/Users/dohyunjung/ralph-exp025/claude-config-projects-pro-ko-2,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
DeepSeek V4-Pro,EXP-025,ko,pro-ko-3,claude-code-direct(DeepSeek),13.72,61564,2748288,0,0,,62160,yes,33,59,/Users/dohyunjung/ralph-exp025/claude-config-projects-pro-ko-3,csv_verified,matches experiments/025-deepseek-direct/runs/usage.csv (last-wins dedup script)
